Thread[Thread-1,5,main]2482
2305
2340
2354
2414
2441
2091
2400
2299
2693
2399
3711
3566
2392
2184
2315
2309
2648
3563
2430
2275
2448
2244
2327
 732
2082
2460
1327
2033
2452
2324
2187
1635
2398
2695
2442
2356
2196
2268
2057
2308
2284
2205
2935
2321
2230
2420
2161
2319
2200
2524
2257
2362
2291
2252
2880
3143
1735
2354
2424
2578
1151
2750
2253
2491
2072
2215
2227
2979
2166
1964
2451
2391
2142
2447
2304
1986
2078
2374
2187
2010
2602
2538
1532
2560
2201
2117
3102
2446
2063
2354
2504
2357
2468
2383
2319
1888
2999
2310
2850
2050
2529
2097
2149
