Thread[Thread-1,5,main]1767
2322
2755
2586
2346
2463
3694
1898
2201
2728
2833
2115
2137
1244
2729
2509
1149
2104
2198
2002
2210
2505
1726
1958
2560
1504
1888
2550
1941
1982
2370
2419
2291
1824
1918
1480
2673
3470
1611
3150
2301
1657
2274
1839
2511
3014
2163
1210
2310
2444
2466
3099
3180
2258
2022
2300
2718
2528
2844
2408
2326
2309
1985
2313
2646
2840
2809
1566
2862
2468
1886
3857
2849
1619
2316
2228
2141
2248
1663
2347
2199
2098
1600
2570
2325
2586
1886
2385
1588
1648
3178
2589
2195
1702
2306
1812
1459
2160
2036
3351
1816
2065
3215
2266
1982
1938
 816
2406
3720
2734
1872
3141
2398
2200
2587
2017
1283
2344
2545
1964
2941
1853
 814
2506
2179
2160
2423
2830
 937
2536
